Community Area Id,Community Area Name,Practicing Dentists
1,Rogers Park,15
2,West Ridge,49
3,Uptown,29
4,Lincoln Square,33
5,North Center,22
6,Lake View,83
7,Lincoln Park,74
8,Near North Side,170
9,Edison Park,18
10,Norwood Park,75
11,Jefferson Park,37
12,Forest Glen,61
13,North Park,28
14,Albany Park,27
15,Portage Park,44
16,Irving Park,27
17,Dunning,28
18,Montclare,8
19,Belmont Cragin,24
20,Hermosa,3
21,Avondale,16
22,Logan Square,43
23,Humboldt Park,17
24,West Town,64
25,Austin,13
26,West Garfield Park,4
27,East Garfield Park,0
28,Near West Side,141
29,North Lawndale,4
30,South Lawndale,25
31,Lower West Side,12
32,Loop,198
33,Near South Side,24
34,Armour Square,13
35,Douglas,1
36,Oakland,1
37,Fuller Park,2
38,Grand Boulevard,8
39,Kenwood,4
40,Washington Park,3
41,Hyde Park,29
42,Woodlawn,2
43,South Shore,8
44,Chatham,14
45,Avalon Park,7
46,South Chicago,11
47,Burnside,3
48,Calumet Heights,8
49,Roseland,8
50,Pullman,2
51,South Deering,1
52,East Side,6
53,West Pullman,2
54,Riverdale,0
55,Hegewisch,3
56,Garfield Ridge,25
57,Archer Heights,6
58,Brighton Park,11
59,McKinley Park,2
60,Bridgeport,15
61,New City,6
62,West Elsdon,6
63,Gage Park,10
64,Clearing,7
65,West Lawn,19
66,Chicago Lawn,12
67,West Englewood,3
68,Englewood,7
69,Greater Grand Crossing,5
70,Ashburn,12
71,Auburn Gresham,9
72,Beverly,21
73,Washington Heights,4
74,Mount Greenwood,15
75,Morgan Park,22
76,O'Hare,13
77,Edgewater,29
100,City of Chicago,"1,811"
